=== quarterly period coverage (income_statement) ===
Source: tests/fixtures/mini.duckdb
View: per (ticker, fiscal_year, period), MIN(accepted_date) = earliest emission.
Q4 lag = (Q4_first_accepted - FY_first_accepted) in days. A large positive lag means
Q4 didn't appear at the FY filing — it only materialised at the NEXT FY's 10-K.

=== AAPL ===
FY   | Q1             | Q2             | Q3             | Q4             | FY accepted | Q4 accepted | Q4 lag (days)
2026 | Y(2026-03-31)  | N              | N              | N              | ---         | ---         | —
Pattern: Q4 contemporaneous with FY for FY2016+, year-lagged for FY2015-2015.

=== JNJ ===
FY   | Q1             | Q2             | Q3             | Q4             | FY accepted | Q4 accepted | Q4 lag (days)
2007 | N              | N              | N              | N              | 2010-03-01  | ---         | —
2008 | N              | Y(2008-06-29)  | Y(2008-09-28)  | N              | 2010-03-01  | ---         | —
2009 | Y(2009-03-29)  | Y(2009-06-28)  | Y(2009-09-27)  | N              | ---         | ---         | —
2010 | Y(2010-04-04)  | Y(2010-07-04)  | Y(2010-10-03)  | Y(2010-01-03)  | 2010-03-01  | 2011-02-25  | +361
2011 | Y(2011-04-03)  | Y(2011-07-03)  | Y(2011-10-02)  | Y(2011-01-02)  | 2011-02-25  | 2012-02-23  | +363
2012 | Y(2012-04-01)  | Y(2012-07-01)  | Y(2012-09-30)  | Y(2012-01-01)  | 2012-02-23  | 2013-02-22  | +365
2013 | Y(2013-03-31)  | Y(2013-06-30)  | Y(2013-09-29)  | Y(2013-12-29)  | 2014-02-21  | 2014-02-21  | +0
2014 | Y(2014-03-30)  | Y(2014-06-29)  | Y(2014-09-28)  | Y(2014-12-28)  | 2015-02-24  | 2015-02-24  | +0
2015 | Y(2015-03-29)  | Y(2015-06-28)  | Y(2015-09-27)  | N              | ---         | ---         | —
2016 | Y(2016-04-03)  | Y(2016-07-03)  | Y(2016-10-02)  | Y(2016-01-03)  | 2016-02-24  | 2017-02-27  | +369
2017 | Y(2017-04-02)  | Y(2017-07-02)  | Y(2017-10-01)  | Y(2017-01-01)  | 2017-02-27  | 2018-02-21  | +359
2018 | Y(2018-04-01)  | Y(2018-07-01)  | Y(2018-09-30)  | Y(2018-12-30)  | 2019-02-20  | 2019-02-20  | +0
2019 | Y(2019-03-31)  | Y(2019-06-30)  | Y(2019-09-29)  | Y(2019-12-29)  | 2020-02-18  | 2020-02-18  | +0
2021 | Y(2020-03-29)  | Y(2020-06-28)  | Y(2020-09-27)  | Y(2021-01-03)  | 2021-02-22  | 2021-02-22  | +0
2022 | Y(2022-04-03)  | Y(2022-07-03)  | Y(2021-10-03)  | Y(2022-01-02)  | 2022-02-17  | 2023-02-16  | +364
2023 | Y(2023-04-02)  | Y(2023-07-02)  | Y(2023-10-01)  | Y(2023-01-01)  | 2023-02-16  | 2024-02-16  | +365
2024 | Y(2024-03-31)  | Y(2024-06-30)  | Y(2024-09-29)  | Y(2024-12-29)  | 2025-02-13  | 2025-02-13  | +0
2025 | Y(2025-03-30)  | Y(2025-06-29)  | Y(2025-09-28)  | Y(2025-12-28)  | 2026-02-11  | 2026-02-11  | +0
2026 | Y(2026-03-29)  | N              | N              | N              | ---         | ---         | —
